,기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
76,피플뱅크코리아(주),,,,,,,,,,,,,,,,,,
77,피플뱅크코리아(주),,,,,,,,,,,,,,,,,,
78,(주)옵트에이아이,,,,,,"5,017","2,959","6,745",-3.67,"매우
낮음","4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
79,(주)휴톰,,,,,,,,,,,,,,,,,,
80,(주)엘리스그룹,,,,,,,,,,,"4,851만원","3억 3,904만원",,,"- 1,162만원","- 1억 6,598만원","- 2억 5,857만원",
81,(주)엘로이랩,,,,,,"6,263","3,319","7,580",20.37,낮음,,,,,,,,
82,(주)비전스페이스,,,,,,,,,,,,,,,,,,
83,(주)파인더스에이아이,,,,,,"7,065","3,615","8,193",9.48,"매우
낮음",,,,,,,,
84,(주)데이타몬드,,,,,,"5,539","3,337","6,565",17.3,낮음,"1,869만원","2억 5,044만원","9억 6,263만원",,- 2억 229만원,"- 9억 4,223만원","- 4억 3,956만원",
85,메가존클라우드(주),,,,,,"7,146","3,874","8,393",8.17,"매우
낮음",,,,,,,,
86,(주)클루커스,,,,,,,,,,,,,,,,,,
87,(주)딥엑스,,,,,,"8,662","4,772","10,031",8.18,낮음,,,,,,,,
88,(주)딥엑스,,,,,,"8,662","4,772","10,031",8.18,낮음,,,,,,,,
89,(주)딥엑스,,,,,,"8,662","4,772","10,031",8.18,낮음,,,,,,,,
90,(주)보스반도체,,,,,,"8,100","4,348","9,266",3.17,보통,1억 909만원,"135억 2,130만원",,,"- 13억 4,483만원","- 52억 6,683만원",,
91,(주)이츠코리아,,,,,,,,,,,1억 909만원,"135억 2,130만원",,,"- 13억 4,483만원","- 52억 6,683만원",,
92,(주)마인즈앤컴퍼니,,,,,,"7,425","3,788","8,275",-2.58,보통,46억 692만원,43억 803만원,"43억 3,669만원","43억 1,716만원","12억 5,046만원","4억 7,654만원","- 4억 9,548만원","- 2억 1,956만원"
93,(주)이너버즈,,,,,,"5,701","3,171","7,192",24.67,"매우
낮음","8,956만원","8,672만원",,,- 377만원,"- 4억 2,519만원","- 10억 5,622만원",
94,(주)액션파워,,,,,,,,,,,,,,,,,,
95,(주)뤼튼테크놀로지스,,,,,,,,,,,"8,956만원","8,672만원",,,- 377만원,"- 4억 2,519만원","- 10억 5,622만원",
96,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
97,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
98,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
99,(주)더라이징스타헤딩,,,,,,"3,524","2,473","5,365",3.65,낮음,"9억 8,077만원","15억 8,027만원","25억 6,010만원","44억 8,223만원","- 1억 9,764만원","- 3억 8,300만원","- 3억 6,270만원","2,958만원"
100,(주)헥토,,,,,,"7,830","4,192","9,450",4.46,보통,,,,,,,,
101,(주)인애이블퓨전,,,,,,,,,,,,,,,,,,
102,쓰리핸즈(3Handz),,,,,,,,,,,,,,,,,,
103,(주)웨이센,,,,,,,,,,,,,,,,,,
104,(주)슈퍼솔루션,,,,,,,,,,,,,,,,,,
105,(주)슈퍼솔루션,,,,,,,,,,,,,,,,,,
106,삼양식품(주),,,,,,"4,975","3,152","5,977",15.54,"매우
높음",,,,,,,,
107,아일리스프런티어(주),,,,,,"6,890","3,461","8,109",11.8,낮음,"32억 9,015만원","30억 7,326만원","40억 2,663만원","31억 3,876만원","5억 4,060만원","3억 7,072만원","5억 4,582만원","9,113만원"
108,아일리스프런티어(주),,,,,,"6,890","3,461","8,109",11.8,낮음,"32억 9,015만원","30억 7,326만원","40억 2,663만원","31억 3,876만원","5억 4,060만원","3억 7,072만원","5억 4,582만원","9,113만원"
109,(주)인포시즈,,,,,,"7,089","3,622","8,206",4.31,낮음,"24억 5,728만원","57억 4,825만원","77억 5,055만원","78억 6,442만원","3,280만원","4억 9,180만원",5억 436만원,"- 12억 6,736만원"
110,(주)인포시즈,,,,,,,,,,,,,,,,,,
111,피플뱅크코리아(주),,,,,,,,,,,"24억 5,728만원","57억 4,825만원","77억 5,055만원","78억 6,442만원","3,280만원","4억 9,180만원",5억 436만원,"- 12억 6,736만원"
112,(주)업스테이지,,,,,,"8,631","4,371","10,159",21.46,"매우
낮음","2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
113,쓰리핸즈(3Handz),,,,,,,,,,,"2억 9,461만원","58억 1,988만원",59억 203만원,"46억 1,218만원","- 8,309만원","- 8억 6,337만원","- 81억 4,248만원","- 189억 1,399만원"
114,(주)토르드라이브,,,,,,,,,,,,,,,,,,
115,(주)토르드라이브,,,,,,,,,,,,,,,,,,
116,(주)맨파워그룹코리아,,,,,,"3,824","2,615","5,048",3.32,"매우
높음","1,182억 4,923만원","1,147억 9,161만원","1,257억 3,621만원","1,233억 8,443만원",16억 748만원,12억 242만원,13억 732만원,"10억 5,224만원"
117,오브로(주),,,,,,"7,186","3,653","8,235",3.5,보통,,,,,,,,
118,한국쓰리엠(주),,,,,,"9,712","4,458","9,769",5.61,"매우
높음","1조 5,880억원","1조 7,738억원","1조 8,132억원","1조 6,370억원","697억 6,734만원","1,317억 3,157만원","1,850억 4,491만원","1,266억 8,334만원"
119,삼성웰스토리(주),,,,,,"8,196","3,821","7,845",11.31,"매우
높음","1조 9,701억원",2조 643억원,"2조 3,785억원","2조 5,936억원","970억 1,094만원","766억 1,192만원","678억 7,880만원","1,254억 6,834만원"
120,윌로펌프(주),,,,,,"8,136","4,166","8,560",8.02,높음,"1,914억 9,734만원","2,084억 328만원","2,268억 5,105만원","2,348억 7,182만원","234억 1,958만원","223억 2,829만원","215억 4,832만원","243억 6,442만원"
121,한국과학기술원,,,,,,"4,580","2,756","5,792",3.11,"매우
낮음","8,635억 8,415만원","8,843억 5,201만원","9,942억 5,544만원",1조 674억원,"- 36억 8,843만원","- 229억 4,680만원","- 183억 1,971만원","- 360억 8,908만원"
122,한국과학기술원,,,,,,"4,580","2,756","5,792",3.11,"매우
낮음","8,635억 8,415만원","8,843억 5,201만원","9,942억 5,544만원",1조 674억원,"- 36억 8,843만원","- 229억 4,680만원","- 183억 1,971만원","- 360억 8,908만원"
123,㈜동화엔텍,,,,,,"8,940","4,707","9,326",5.99,높음,"1,060억 2,579만원","1,288억 4,658만원","1,292억 3,436만원","2,511억 7,221만원","17억 7,259만원","34억 7,731만원","58억 8,884만원","208억 3,371만원"
124,(주)케이티디에스,,,,,,"8,580","4,385","9,451",7.38,"매우
높음","4,873억 2,273만원","5,969억 7,454만원","6,257억 6,195만원","6,668억 7,430만원","143억 1,970만원","232억 2,391만원","323억 2,006만원","405억 8,593만원"
125,서울대학교병원,,,,,,"5,248","3,263","6,082",5.61,높음,"1조 9,382억원","2조 1,789억원","2조 3,034억원","2조 4,351억원","- 726억 8,376만원","- 604억 7,627만원","- 482억 3,232만원","- 770억 7,452만원"
126,(주)트루엔,,,,,,,,,,,"1조 9,382억원","2조 1,789억원","2조 3,034억원","2조 4,351억원","- 726억 8,376만원","- 604억 7,627만원","- 482억 3,232만원","- 770억 7,452만원"
127,(재)한국원자력연구원,,,,,,"9,075","4,443","8,417",5.17,보통,"4,008억 6,571만원","4,950억 4,700만원","6,100억 3,894만원","6,661억 3,350만원",- 96억 904만원,"73억 8,214만원","- 711억 2,915만원","- 19억 2,924만원"
128,(주)한싹,,,,,,"5,051","2,965","6,813",-,보통,"155억 3,659만원","180억 5,543만원","218억 7,821만원","240억 3,780만원","21억 1,333만원","33억 8,886만원","14억 1,427만원","21억 8,085만원"
129,한국자동차연구원,,,,,,"7,595","3,912","8,387",8.08,보통,"1,626억 5,452만원","2,309억 1,509만원","2,573억 8,239만원","2,698억 4,244만원",96억 983만원,"130억 5,984만원","146억 9,683만원",3억 721만원
130,현대오토에버(주),,,,,,"9,407","4,392","10,177",0.46,"매우
높음",,,,,,,,
131,(주)나인벨,,,,,,"5,899","3,328","7,290",1.37,보통,"211억 5,437만원","444억 4,615만원","623억 7,998만원","633억 3,617만원","32억 2,956만원","85억 1,038만원","153억 7,331만원","169억 4,358만원"
132,(주)글로벌스탠다드테크놀로지,,,,,,,,,,,,,,,,,,
133,(주)이수시스템,,,,,,,,,,,,,,,,,,
134,(주)씨메스,,,,,,,,,,,,,,,,,,
135,(재)한국화학융합시험연구원,,,,,,"8,097","3,779","8,271",7.03,높음,"1,724억 5,211만원","1,832억 1,480만원","1,870억 5,298만원","1,978억 7,100만원","257억 4,821만원","202억 8,870만원","149억 6,495만원","50억 5,335만원"
136,(주)폴리인스퍼레이션,,,,,,,,,,,"1,724억 5,211만원","1,832억 1,480만원","1,870억 5,298만원","1,978억 7,100만원","257억 4,821만원","202억 8,870만원","149억 6,495만원","50억 5,335만원"
137,(주)씨메스,,,,,,"6,024","3,448","7,405",8.35,보통,,,,,,,,
138,(주)메타엠,,,,,,"3,298","2,502","4,504",2.55,"매우
높음",,,,,,,,
139,(주)씨어스테크놀로지,,,,,,"6,598","3,664","7,598",1.34,보통,"6억 3,929만원","13억 8,612만원","11억 5,294만원","18억 8,501만원","- 31억 1,538만원","- 43억 8,883만원","- 79억 9,029만원",- 98억 341만원
140,(주)위즈코리아,,,,,,,,,,,,,,,,,,
141,(주)시스메이트,,,,,,,,,,,,,,,,,,
142,(주)서연이화,,,,,,"10,622","4,501","9,953",16.07,보통,,,,,,,,
143,(주)서연이화,,,,,,"10,622","4,501","9,953",16.07,보통,,,,,,,,
144,(주)포니링크,,,,,,,,,,,,,,,,,,
145,(주)에스티에이테스팅컨설팅,,,,,,"4,298","2,832","6,334",4.22,높음,71억 43만원,"95억 4,527만원","114억 8,522만원","111억 9,343만원",3억 517만원,10억 87만원,"3억 3,644만원","2,456만원"
146,(주)에스티에이테스팅컨설팅,,,,,,,,,,,,,,,,,,
147,(주)테크웨이즈,,,,,,,,,,,71억 43만원,"95억 4,527만원","114억 8,522만원","111억 9,343만원",3억 517만원,10억 87만원,"3억 3,644만원","2,456만원"
148,(주)서울커뮤니케이션,,,,,,,,,,,71억 43만원,"95억 4,527만원","114억 8,522만원","111억 9,343만원",3억 517만원,10억 87만원,"3억 3,644만원","2,456만원"
149,㈜피앤피시큐어,,,,,,"6,199","3,333","7,889",6.59,높음,"345억 8,289만원",431억 959만원,"526억 6,243만원","583억 9,737만원","165억 2,075만원","236억 6,490만원","262억 2,890만원","274억 9,307만원"
150,한국방송통신전파진흥원,,,,,,"6,487","3,550","7,184",6.87,낮음,"819억 4,155만원","768억 5,786만원",830억 106만원,792억 206만원,75억 42만원,"- 51억 9,265만원","- 3억 8,985만원","- 28억 9,894만원"
151,삼양데이타시스템(주),,,,,,,,,,,,,,,,,,
152,삼양데이타시스템(주),,,,,,"5,808","3,330","7,613",7.38,높음,"719억 9,115만원","842억 5,948만원","790억 6,559만원","778억 8,416만원","29억 5,625만원","36억 1,990만원","22억 6,318만원","29억 5,657만원"
153,(주)리더스시스템즈,,,,,,"5,340","3,101","6,589",7.9,보통,"392억 8,096만원","934억 5,757만원","846억 8,439만원","1,609억 5,094만원",20억 697만원,"40억 2,206만원","33억 2,214만원",55억 970만원
154,(주)리더스시스템즈,,,,,,,,,,,,,,,,,,
155,(주)샌즈랩,,,,,,"4,573","2,821","6,752",-2.16,낮음,"52억 4,690만원","54억 1,385만원","92억 9,954만원","117억 2,191만원","- 9,296만원","4억 8,876만원","20억 8,946만원","- 8억 8,368만원"
156,엠아이큐브솔루션(주),,,,,,,,,,,"52억 4,690만원","54억 1,385만원","92억 9,954만원","117억 2,191만원","- 9,296만원","4억 8,876만원","20억 8,946만원","- 8억 8,368만원"
157,(주)바텍,,,,,,"5,046","3,005","6,866",-7.85,"매우
낮음",,,,,,,,
158,(주)바텍,,,,,,,,,,,,,,,,,,
159,(주)넥서스커뮤니티,,,,,,"7,382","3,709","8,443",11.19,높음,"101억 9,259만원","150억 2,159만원","138억 6,859만원","133억 2,107만원","- 3억 5,627만원","19억 4,744만원","10억 7,088만원","1억 3,828만원"
160,(주)씨메스,,,,,,"6,024","3,448","7,405",8.35,보통,,,,,,,,
161,(주)로지시스,,,,,,,,,,,,,,,,,,
162,(주)엠로,,,,,,"6,985","3,443","8,567",3.4,"매우
높음",,,,,,,,
163,(주)동성케미컬,,,,,,"7,187","3,836","8,496",0.07,높음,,,,,,,,
164,(주)이스트소프트,,,,,,"5,481","3,081","7,289",0.2,높음,,,,,,,,
165,호전실업(주),,,,,,,,,,,,,,,,,,
166,(주)티디지,,,,,,,,,,,,,,,,,,
167,호전실업(주),,,,,,"5,823","3,361","7,301",-3.14,높음,,,,,,,,
168,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
169,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
170,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
171,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
172,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
173,(주)에어키,,,,,,,,,,,,,,,,,,
174,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
175,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
176,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
177,(주)스카우트,,,,,,"3,363","2,533","5,232",-2.49,"매우
높음","198억 5,108만원","223억 7,131만원","261억 6,931만원","265억 3,178만원","10억 2,633만원","8억 8,822만원","4억 4,357만원","- 7억 4,064만원"
178,(주)네비웍스,,,,,,"5,263","3,101","7,155",7.21,높음,"80억 4,514만원","118억 6,314만원","110억 4,233만원","142억 9,049만원",- 24억 946만원,"6억 8,238만원","- 9억 4,114만원","- 35억 8,255만원"
179,(주)키스템프그룹,,,,,,"3,537","2,636","4,932",2.14,높음,685억 8만원,"611억 7,981만원","600억 3,575만원","586억 2,092만원","30억 8,842만원","18억 8,266만원","4억 8,074만원","- 11억 3,911만원"
180,(주)에이엘테크,,,,,,"4,205","2,804","5,947",3.83,보통,"169억 3,194만원","150억 7,554만원","162억 2,398만원",169억 136만원,"11억 5,977만원","15억 7,009만원","14억 2,122만원","8억 8,466만원"
181,(주)키스템프그룹,,,,,,"3,537","2,636","4,932",2.14,높음,685억 8만원,"611억 7,981만원","600억 3,575만원","586억 2,092만원","30억 8,842만원","18억 8,266만원","4억 8,074만원","- 11억 3,911만원"
182,(주)키스템프그룹,,,,,,"3,537","2,636","4,932",2.14,높음,685억 8만원,"611억 7,981만원","600억 3,575만원","586억 2,092만원","30억 8,842만원","18억 8,266만원","4억 8,074만원","- 11억 3,911만원"
183,(사)한국능률협회,,,,,,"4,452","2,767","6,051",-9.18,높음,"405억 2,686만원","502억 7,335만원","511억 1,820만원",583억 986만원,"6억 3,507만원","6억 5,650만원","7억 1,956만원","10억 8,722만원"
184,(주)우리기술,,,,,,,,,,,"405억 2,686만원","502억 7,335만원","511억 1,820만원",583억 986만원,"6억 3,507만원","6억 5,650만원","7억 1,956만원","10억 8,722만원"
185,(주)우리기술,,,,,,,,,,,"405억 2,686만원","502억 7,335만원","511억 1,820만원",583억 986만원,"6억 3,507만원","6억 5,650만원","7억 1,956만원","10억 8,722만원"
186,주식회사 대륜,,,,,,,,,,,"405억 2,686만원","502억 7,335만원","511억 1,820만원",583억 986만원,"6억 3,507만원","6억 5,650만원","7억 1,956만원","10억 8,722만원"
187,(주)아시아경제,,,,,,,,,,,,,,,,,,
188,주식회사 브이원텍,,,,,,"4,863","2,935","6,870",-5.02,높음,,,,,,,,
189,주식회사 브이원텍,,,,,,"4,863","2,935","6,870",-5.02,높음,,,,,,,,
190,(주)두원전자통신,,,,,,"4,674","2,903","6,150",3.61,높음,"228억 8,521만원","425억 7,725만원","334억 3,667만원","297억 9,036만원","13억 5,402만원","50억 8,495만원","7,270만원","2억 7,681만원"
191,(주)트윔,,,,,,,,,,,"228억 8,521만원","425억 7,725만원","334억 3,667만원","297억 9,036만원","13억 5,402만원","50억 8,495만원","7,270만원","2억 7,681만원"
192,(주)트윔,,,,,,,,,,,,,,,,,,
193,(주)트윔,,,,,,,,,,,"228억 8,521만원","425억 7,725만원","334억 3,667만원","297억 9,036만원","13억 5,402만원","50억 8,495만원","7,270만원","2억 7,681만원"
194,(주)트윔,,,,,,,,,,,"228억 8,521만원","425억 7,725만원","334억 3,667만원","297억 9,036만원","13억 5,402만원","50억 8,495만원","7,270만원","2억 7,681만원"
195,(주)딥노이드,,,,,,"5,569","3,103","7,385",20.83,높음,,,,,,,,
196,주식회사 대륜,,,,,,,,,,,,,,,,,,
197,메가존클라우드(주),,,,,,"7,146","3,874","8,393",8.17,"매우
낮음",,,,,,,,
198,(주)나라이엔씨,,,,,,"5,077","3,018","6,676",10.61,낮음,"47억 2,674만원","59억 2,413만원","51억 1,587만원","50억 1,963만원",3억 411만원,"5억 5,924만원","1억 2,275만원","3억 1,853만원"
199,(주)쿨스,,,,,,"4,547","2,801","5,667",2.64,보통,"107억 1,915만원","85억 6,194만원","105억 3,973만원","92억 9,218만원","2억 4,980만원","1,145만원","5,325만원",2억 960만원
200,(주)브릴스,,,,,,"5,476","3,150","7,004",-3.03,낮음,"46억 2,999만원","55억 1,266만원","59억 8,678만원","157억 3,306만원","1억 8,152만원","6억 1,744만원","9,452만원","26억 4,570만원"
201,웨이즈원(주),,,,,,"5,139","2,987","6,696",3.44,높음,"49억 3,723만원","91억 1,234만원","107억 1,238만원","143억 5,270만원","2억 4,452만원","6억 8,528만원",8억 96만원,"9억 9,242만원"
202,(주)피아이이,,,,,,,,,,,,,,,,,,
203,(주)상화,,,,,,"6,026","3,408","7,484",0.3,보통,139억 938만원,"118억 8,864만원","210억 5,334만원",173억 403만원,"- 47억 6,087만원","- 40억 1,718만원","- 14억 6,677만원","- 14억 6,645만원"
204,(주)덕산테코피아,,,,,,"6,192","3,536","7,518",7.22,"매우
낮음",,,,,,,,
205,국방과학연구소,,,,,,"9,306","4,000","9,609",5.08,"매우
높음",,,,,,,,
206,한맥콘트롤즈(주),,,,,,,,,,,,,,,,,,
207,한국소프트웨어산업협회,,,,,,,,,,,,,,,,,,
208,(주)더블티,,,,,,"4,090","2,679","6,059",5.55,낮음,"40억 7,751만원","91억 1,691만원","154억 3,381만원",,"7,734만원","3억 9,654만원","2억 1,588만원",
209,(주)스킨사이언스,,,,,,,,,,,"40억 7,751만원","91억 1,691만원","154억 3,381만원",,"7,734만원","3억 9,654만원","2억 1,588만원",
210,에스케이쉴더스(주),,,,,,"6,893","3,427","7,504",12.58,"매우
높음",,,,,,,,
211,(주)에이아이매틱스,,,,,,"6,040","3,428","7,772",0.42,보통,,,,,,,,
212,(주)에스피파트너스,,,,,,"4,316","2,812","6,508",10.84,낮음,"12억 7,302만원","13억 6,064만원","34억 5,777만원","34억 9,444만원",1억 927만원,"1억 7,109만원","3억 9,375만원","4억 3,704만원"
213,(주)나노텍,,,,,,,,,,,,,,,,,,
214,제이비우리캐피탈(주),,,,,,"9,098","4,305","9,613",4.47,"매우
높음",,,,,,,,
215,이에이트(주),,,,,,,,,,,,,,,,,,
216,(주)엘리스그룹,,,,,,,,,,,,,,,,,,
217,(주)엘리스그룹,,,,,,,,,,,,,,,,,,
